Customer_Name,Age,Gender,Visited_With_Family,Room_No,Num_Of_People,Reason_To_Visit,Room_Type,Cleanliness_Rating,Comfort_Rating,Staff_Performance,Facilities_Rating,Location_Rating,Overall_Satisfaction_Score
Kabir,37,Male,Yes,104,1,Travel,Single Room,3,2,2,4,1,2.4
Rohan,69,Male,Yes,804,3,Education,Double Room,5,3,2,1,3,2.8
Pankaj,40,Male,No,308,2,Vacation,Double Room,2,5,1,5,4,3.4
Priya,23,Female,Yes,106,2,Travel,Double Room,4,1,2,2,1,2
Raghav,58,Male,Yes,604,1,Business,Single Room,3,4,4,3,4,3.6
Lakshmi,42,Female,Yes,1010,4,Education,Suite,4,5,1,4,1,3
Harsha,69,Female,No,901,1,Business,Single Room,3,5,3,1,3,3
Rajesh,22,Male,No,207,2,Business,Double Room,4,4,1,5,4,3.6
Raghav,40,Male,No,310,3,Vacation,Suite,3,1,4,5,2,3
Mehul,60,Male,Yes,705,3,Business,Double Room,2,5,3,4,1,3
Sarika,27,Female,Yes,902,1,Business,Single Room,5,1,2,5,1,2.8
Sharad,44,Male,Yes,205,1,Vacation,Single Room,2,2,1,4,2,2.2
Bharat,26,Male,No,210,3,Travel,Suite,3,1,2,4,1,2.2
Rachit,28,Male,No,801,1,Travel,Single Room,5,3,3,3,5,3.8
Vijay,57,Male,No,1009,3,Education,Suite,2,1,1,1,2,1.4
Gaurav,25,Female,Yes,106,3,Business,Double Room,4,2,1,1,3,2.2
Akash,47,Male,No,303,1,Travel,Single Room,2,2,5,5,5,3.8
Kabir,50,Male,No,302,1,Business,Single Room,1,5,4,2,3,3
Pooja,68,Female,No,805,3,Education,Suite,2,5,5,3,3,3.6
Amit,23,Male,No,201,1,Travel,Single Room,2,4,1,4,5,3.2
Meera,19,Female,Yes,604,2,Business,Single Room,3,1,1,4,3,2.4
Rajesh,18,Male,No,1001,1,Business,Single Room,3,3,5,5,1,3.4
Ritika,65,Female,No,801,1,Business,Single Room,1,5,1,5,1,2.6
Neha,38,Female,No,106,2,Business,Double Room,4,4,3,1,5,3.4
Ramu,53,Female,Yes,301,1,Education,Single Room,5,2,4,3,5,3.8
Suman,61,Female,Yes,103,2,Education,Single Room,4,2,2,4,1,2.6
Nikhil,56,Male,Yes,1003,3,Vacation,Double Room,1,4,1,5,5,3.2
Smita,22,Female,Yes,201,1,Travel,Single Room,1,2,1,1,3,1.6
Riya,23,Female,No,901,1,Business,Single Room,5,5,5,5,5,5
Pankaj,64,Male,No,904,2,Vacation,Double Room,1,4,1,4,3,2.6
Tarun,31,Male,No,1006,3,Travel,Suite,3,2,3,4,5,3.4
Shreya,56,Male,No,507,3,Education,Suite,4,1,3,3,1,2.4
Sarika,26,Female,Yes,310,4,Business,Suite,4,3,3,3,3,3.2
Shivani,67,Female,No,304,1,Travel,Single Room,3,2,1,1,2,1.8
Tarun,63,Male,Yes,107,3,Travel,Double Room,3,3,4,2,2,2.8
Rana,30,Male,No,1010,3,Travel,Suite,2,4,1,5,2,2.8
Ananya,42,Female,Yes,502,2,Vacation,Single Room,3,2,3,2,5,3
Geeta,61,Female,Yes,1005,4,Travel,Suite,1,1,1,4,5,2.4
Raj,55,Male,Yes,804,3,Travel,Double Room,1,1,3,1,4,2
Karthik,59,Male,No,1004,2,Vacation,Double Room,1,2,2,3,1,1.8
Aryan,64,Male,Yes,707,4,Vacation,Suite,5,3,4,5,5,4.4
Pankaj,30,Male,Yes,209,4,Vacation,Suite,1,3,1,2,1,1.6
Vijay,55,Male,Yes,402,1,Education,Single Room,4,5,1,5,2,3.4
Lakshmi,65,Female,Yes,305,1,Education,Single Room,4,2,2,4,2,2.8
Karthik,36,Male,No,901,1,Business,Single Room,5,4,4,5,4,4.4
Sameer,49,Male,No,502,1,Vacation,Single Room,2,1,3,1,2,1.8
Vikas,49,Male,Yes,601,1,Travel,Single Room,2,1,3,4,2,2.4
Sameer,38,Male,Yes,906,4,Education,Suite,4,1,4,4,3,3.2
Naveen,68,Female,Yes,406,2,Education,Double Room,4,5,3,2,5,3.8
Naveen,23,Male,Yes,606,2,Vacation,Double Room,2,1,4,4,4,3
Anjali,18,Female,No,501,1,Travel,Single Room,3,4,2,2,1,2.4
Gaurav,58,Female,No,107,2,Vacation,Double Room,2,2,1,4,2,2.2
Lalit,70,Male,Yes,607,4,Business,Suite,2,5,5,4,5,4.2
Rohit,69,Female,Yes,608,4,Education,Suite,3,4,4,4,4,3.8
Rachit,23,Male,Yes,906,4,Business,Suite,5,1,3,5,2,3.2
Priya,62,Female,No,1003,2,Education,Double Room,4,2,2,2,2,2.4
Naveen,33,Male,Yes,805,4,Vacation,Suite,1,5,2,2,3,2.6
Lalit,44,Male,Yes,905,4,Business,Suite,2,4,2,3,5,3.2
Vivek,45,Male,Yes,103,1,Vacation,Single Room,1,4,2,5,5,3.4
Ajay,44,Male,No,402,1,Travel,Single Room,5,2,3,1,5,3.2
Ravi,30,Male,No,104,1,Business,Single Room,3,4,5,5,5,4.4
Neha,31,Female,No,310,3,Travel,Suite,5,3,2,4,1,3
Rashmi,54,Female,Yes,507,4,Education,Suite,4,3,5,5,3,4
Krishna,20,Male,No,505,2,Business,Double Room,4,2,3,5,2,3.2
Nandini,26,Female,Yes,608,4,Business,Suite,5,1,4,3,2,3
Raj,63,Male,No,705,2,Business,Double Room,5,4,4,2,3,3.6
Vihaan,49,Male,No,406,2,Business,Double Room,4,2,3,4,2,3
Nisha,56,Female,No,1003,2,Vacation,Double Room,2,4,5,3,4,3.6
Priya,48,Female,No,110,2,Travel,Double Room,1,3,5,4,3,3.2
Harshit,26,Male,No,1002,1,Travel,Single Room,5,2,3,2,5,3.4
Pankaj,18,Male,No,1006,3,Education,Suite,3,2,3,4,4,3.2
Harshit,47,Male,No,210,3,Education,Suite,5,1,1,4,3,2.8
Rashmi,57,Female,No,605,2,Vacation,Double Room,4,5,5,1,1,3.2
Shivani,29,Female,Yes,407,3,Education,Suite,1,3,2,4,3,2.6
Sonia,59,Female,Yes,506,2,Vacation,Double Room,2,3,5,2,1,2.6
Sharad,61,Male,No,307,2,Business,Double Room,4,4,2,3,5,3.6
Bhavna,24,Female,No,309,3,Business,Suite,5,1,1,5,1,2.6
Anil,67,Male,No,704,1,Vacation,Single Room,2,4,4,4,2,3.2
Rajesh,63,Male,Yes,305,2,Education,Single Room,5,4,5,3,4,4.2
Sunita,57,Female,No,507,3,Vacation,Suite,3,2,4,1,1,2.2
Smita,67,Female,No,107,2,Business,Double Room,2,3,2,1,5,2.6
Rohan,42,Male,No,604,1,Education,Single Room,1,2,2,4,1,2
Nandini,66,Female,Yes,304,1,Education,Single Room,3,2,3,4,3,3
Shreya,42,Female,Yes,605,2,Vacation,Double Room,1,3,4,1,3,2.4
Siddharth,30,Male,Yes,701,2,Travel,Single Room,3,5,1,4,4,3.4
Sonia,48,Female,Yes,901,2,Travel,Single Room,2,2,5,4,1,2.8
Mehul,42,Male,No,402,1,Education,Single Room,4,4,3,1,1,2.6
Gaurav,63,Female,Yes,304,1,Travel,Single Room,2,1,4,3,5,3
Tanvi,24,Female,No,803,2,Education,Double Room,5,2,1,4,5,3.4
Amit,44,Male,No,507,3,Travel,Suite,5,4,2,3,5,3.8
Naveen,20,Male,Yes,703,1,Business,Single Room,4,4,5,2,2,3.4
Aditi,61,Female,Yes,302,2,Business,Single Room,1,1,4,5,4,3
Puja,63,Female,No,108,2,Travel,Double Room,3,3,2,2,1,2.2
Naveen,48,Male,No,102,1,Business,Single Room,4,3,1,1,5,2.8
Bhavna,22,Female,No,206,2,Travel,Double Room,1,4,5,3,1,2.8
Kabir,45,Male,No,608,3,Vacation,Suite,5,3,1,5,3,3.4
Sonia,60,Female,Yes,803,3,Vacation,Double Room,2,3,1,5,3,2.8
Suman,70,Female,No,706,2,Travel,Double Room,1,4,2,3,5,3
Vihaan,25,Male,Yes,1003,3,Vacation,Double Room,4,4,2,2,4,3.2
Gaurav,57,Female,No,104,1,Business,Single Room,3,3,3,4,4,3.4
Nandini,70,Female,Yes,502,1,Education,Single Room,4,5,5,1,3,3.6
Raghav,29,Male,No,304,1,Travel,Single Room,5,1,2,2,4,2.8
Priya,50,Female,No,505,2,Business,Double Room,4,2,3,4,5,3.6
Keshav,52,Male,Yes,706,3,Travel,Double Room,5,2,4,1,1,2.6
Neha,26,Female,Yes,706,2,Travel,Double Room,4,1,2,1,5,2.6
Raj,25,Male,No,107,2,Vacation,Double Room,5,4,1,2,2,2.8
Bhavna,63,Female,Yes,206,2,Education,Double Room,4,1,2,1,3,2.2
Akhil,45,Male,No,902,1,Education,Single Room,2,2,1,1,3,1.8
Arjun,25,Male,No,309,3,Travel,Suite,4,2,5,1,5,3.4
Aryan,50,Male,Yes,601,1,Vacation,Single Room,3,4,5,5,4,4.2
Sneha,66,Female,Yes,705,3,Vacation,Double Room,4,1,2,4,2,2.6
Gaurav,69,Female,No,701,1,Education,Single Room,3,3,5,2,3,3.2
Anushka,34,Female,Yes,309,3,Business,Suite,5,3,3,2,4,3.4
Meera,45,Female,No,601,1,Travel,Single Room,4,3,3,5,1,3.2
Gaurav,67,Female,Yes,1006,4,Vacation,Suite,1,4,1,2,5,2.6
Rashmi,28,Female,No,1010,3,Travel,Suite,4,2,1,4,5,3.2
Pankaj,45,Male,Yes,305,1,Vacation,Single Room,3,4,5,2,4,3.6
Harshit,36,Male,Yes,201,2,Travel,Single Room,2,2,3,2,2,2.2
Preeti,45,Female,No,1007,3,Vacation,Suite,2,4,1,5,4,3.2
Naina,32,Female,Yes,1009,3,Travel,Suite,1,4,1,4,2,2.4
Meera,47,Female,No,1003,2,Travel,Double Room,4,4,5,2,2,3.4
Vikas,54,Male,No,1006,3,Education,Suite,1,3,3,1,5,2.6
Gaurav,53,Female,No,1009,3,Vacation,Suite,2,2,5,3,5,3.4
Sunita,23,Female,No,501,1,Business,Single Room,1,2,4,5,1,2.6
Anjali,57,Female,Yes,708,3,Vacation,Suite,1,2,3,4,4,2.8
Sharad,70,Male,Yes,202,2,Business,Single Room,2,2,3,5,3,3
Vivaan,32,Male,Yes,1008,3,Business,Suite,2,2,4,2,4,2.8
Aarav,50,Male,No,205,1,Travel,Single Room,2,5,4,4,3,3.6
Ravi,51,Male,No,1008,3,Travel,Suite,1,2,3,1,5,2.4
Kapil,38,Male,Yes,406,2,Business,Double Room,1,2,4,2,3,2.4
Preeti,23,Female,Yes,708,4,Vacation,Suite,4,1,4,1,4,2.8
Nisha,59,Female,Yes,1008,4,Business,Suite,3,2,1,2,1,1.8
Karthik,69,Male,Yes,1005,3,Vacation,Suite,5,2,3,2,5,3.4
Aarav,54,Male,Yes,506,2,Travel,Double Room,1,4,1,3,3,2.4
Sai,51,Male,Yes,209,3,Business,Suite,2,3,2,5,2,2.8
Shivani,32,Female,No,806,3,Vacation,Suite,1,3,1,5,2,2.4
Sharad,43,Male,Yes,210,4,Vacation,Suite,3,5,2,4,3,3.4
Harsha,65,Female,Yes,202,1,Vacation,Single Room,3,1,1,4,4,2.6
Vivaan,58,Male,Yes,309,4,Business,Suite,3,3,4,5,3,3.6
Indira,21,Female,No,606,2,Business,Double Room,1,3,2,1,5,2.4
Dinesh,68,Male,No,706,2,Vacation,Double Room,5,4,1,4,2,3.2
Anjali,62,Female,Yes,108,2,Business,Double Room,3,1,3,5,3,3
Pradeep,45,Male,No,801,1,Travel,Single Room,5,2,3,5,5,4
Ananya,69,Female,No,607,3,Business,Suite,3,3,1,5,2,2.8
Kiran,20,Female,No,804,2,Business,Double Room,3,2,3,3,1,2.4
Ajay,68,Male,Yes,1002,1,Business,Single Room,1,2,5,4,4,3.2
Priya,43,Female,No,407,3,Business,Suite,5,2,3,2,2,2.8
Rohit,25,Female,No,104,1,Vacation,Single Room,5,1,1,1,2,2
Sharad,56,Male,No,707,3,Business,Suite,1,3,3,2,5,2.8
Harsha,61,Female,No,608,3,Education,Suite,1,3,5,5,5,3.8
Aditi,64,Female,Yes,705,3,Business,Double Room,5,5,5,3,4,4.4
Anjali,38,Female,No,707,3,Business,Suite,2,3,2,1,5,2.6
Ramu,18,Male,No,1010,3,Travel,Suite,2,1,1,1,1,1.2
Bhavna,22,Female,No,707,3,Business,Suite,2,3,3,3,4,3
Akash,68,Male,No,704,1,Education,Single Room,4,3,1,5,2,3
Lalit,33,Male,No,110,2,Vacation,Double Room,4,1,4,4,3,3.2
Manish,26,Male,No,906,3,Vacation,Suite,3,3,3,4,3,3.2
Vihaan,54,Male,No,405,2,Business,Double Room,1,5,5,1,2,2.8
Aditya,34,Male,Yes,407,4,Travel,Suite,3,4,3,1,5,3.2
Ramu,50,Female,Yes,1006,3,Travel,Suite,4,1,2,5,3,3
Sneha,23,Female,No,302,1,Travel,Single Room,1,5,5,1,1,2.6
Vikas,54,Male,Yes,703,2,Travel,Single Room,1,2,5,4,2,2.8
Smita,47,Female,Yes,107,2,Travel,Double Room,3,2,1,3,4,2.6
Krishna,69,Male,No,209,3,Travel,Suite,5,4,4,3,4,4
Anjali,61,Female,Yes,405,2,Travel,Double Room,4,5,4,2,5,4
Akash,25,Male,No,902,1,Business,Single Room,4,5,3,5,3,4
Sarika,66,Female,Yes,707,3,Travel,Suite,2,4,3,3,3,3
Swati,58,Female,No,1005,3,Vacation,Suite,1,3,4,2,1,2.2
Rohan,52,Male,Yes,804,3,Travel,Double Room,4,1,3,2,3,2.6
Ramu,66,Female,No,1003,2,Travel,Double Room,5,2,1,4,4,3.2
Tanya,52,Female,Yes,805,4,Education,Suite,1,3,1,2,2,1.8
Isha,44,Female,No,702,1,Travel,Single Room,3,2,2,2,1,2
Akash,26,Male,No,406,2,Business,Double Room,2,4,3,1,2,2.4
Ravi,55,Male,Yes,707,4,Education,Suite,3,2,4,5,3,3.4
Pooja,32,Female,Yes,604,2,Travel,Single Room,1,4,2,2,5,2.8
Rana,69,Male,No,209,3,Vacation,Suite,5,2,3,5,4,3.8
Naveen,67,Female,No,701,1,Business,Single Room,3,2,3,1,1,2
Sunita,44,Female,Yes,110,2,Travel,Double Room,5,4,3,5,2,3.8
Smita,65,Female,Yes,806,3,Vacation,Suite,4,2,1,4,4,3
Suman,63,Female,Yes,608,3,Vacation,Suite,2,3,3,4,3,3
Arjun,20,Male,No,306,2,Education,Double Room,1,3,5,4,5,3.6
Dinesh,48,Male,Yes,602,2,Vacation,Single Room,1,5,1,4,1,2.4
Deepak,61,Male,Yes,904,3,Travel,Double Room,1,3,2,1,5,2.4
Deepak,59,Male,No,405,2,Business,Double Room,5,5,2,4,1,3.4
Deepika,20,Female,Yes,406,2,Vacation,Double Room,2,4,1,1,4,2.4
Manish,38,Male,Yes,206,2,Education,Double Room,1,2,1,5,5,2.8
Ramu,60,Female,Yes,407,4,Vacation,Suite,3,2,4,5,2,3.2
Naveen,18,Male,Yes,806,3,Travel,Suite,5,4,4,4,2,3.8
Sneha,22,Female,Yes,201,2,Business,Single Room,2,2,5,4,1,2.8
Isha,63,Female,No,208,2,Education,Double Room,3,3,4,4,2,3.2
Anil,26,Male,Yes,201,2,Business,Single Room,2,5,4,2,1,2.8
Kabir,55,Male,Yes,801,1,Business,Single Room,5,4,2,5,1,3.4
Naina,50,Female,No,110,2,Education,Double Room,5,5,2,5,3,4
Ramu,69,Female,No,803,2,Education,Double Room,2,5,2,2,3,2.8
Pooja,64,Female,Yes,507,3,Travel,Suite,1,4,2,2,5,2.8
Tarun,55,Male,Yes,206,3,Vacation,Double Room,3,4,3,5,5,4
Anushka,35,Female,No,405,2,Education,Double Room,5,5,4,1,1,3.2
Seema,56,Female,Yes,202,2,Business,Single Room,5,2,3,3,1,2.8
Sneha,18,Female,Yes,105,2,Vacation,Single Room,1,4,5,4,2,3.2
Aishwarya,68,Female,No,101,1,Vacation,Single Room,1,3,1,1,2,1.6
Deepak,51,Male,Yes,306,2,Vacation,Double Room,1,3,2,1,3,2
Pooja,57,Female,No,1001,1,Business,Single Room,2,4,3,2,1,2.4
Vinod,67,Male,No,310,3,Travel,Suite,5,1,1,5,3,3
Aishwarya,39,Female,Yes,310,3,Vacation,Suite,3,1,5,2,3,2.8
Pankaj,42,Male,No,508,3,Travel,Suite,2,2,5,1,5,3
Kapil,22,Male,Yes,110,3,Vacation,Double Room,4,3,3,1,3,2.8
Suman,26,Female,Yes,103,1,Travel,Single Room,2,2,5,4,1,2.8
Akhil,44,Male,Yes,507,4,Education,Suite,3,3,1,4,4,3
Sonia,18,Female,Yes,407,3,Business,Suite,5,3,2,3,4,3.4
Anjali,55,Female,No,306,2,Vacation,Double Room,1,5,5,3,4,3.6
Kavita,54,Female,Yes,101,1,Vacation,Single Room,5,1,2,5,4,3.4
Harshit,42,Male,Yes,903,2,Vacation,Double Room,1,4,5,4,3,3.4
Sunita,44,Female,No,110,2,Vacation,Double Room,4,2,4,4,1,3
Ritika,63,Female,Yes,306,3,Travel,Double Room,3,2,5,1,2,2.6
Shreya,62,Female,Yes,701,1,Education,Single Room,2,1,2,1,1,1.4
Bhavna,42,Female,Yes,407,3,Business,Suite,3,5,3,5,1,3.4
Harshit,65,Male,No,903,2,Travel,Double Room,5,5,3,5,3,4.2
Sneha,40,Female,No,803,2,Vacation,Double Room,2,1,2,2,2,1.8
Puja,45,Female,No,705,2,Vacation,Double Room,1,3,1,1,2,1.6
Ananya,26,Female,Yes,705,2,Vacation,Double Room,2,5,2,1,5,3
Mahesh,32,Female,No,608,3,Education,Suite,5,5,1,1,4,3.2
Naina,57,Female,Yes,505,2,Vacation,Double Room,5,4,3,1,5,3.6
Ravi,69,Male,No,708,3,Vacation,Suite,3,2,4,5,1,3
Deepika,20,Female,Yes,901,1,Vacation,Single Room,5,2,1,3,3,2.8
Varun,58,Male,No,1002,1,Education,Single Room,1,1,1,4,3,2
Mahesh,25,Female,No,104,1,Business,Single Room,2,4,4,5,5,4
Suman,47,Female,No,307,2,Business,Double Room,4,2,4,5,3,3.6
Tarun,68,Male,No,310,3,Business,Suite,3,1,3,4,3,2.8
Neha,25,Female,No,904,2,Travel,Double Room,3,2,2,5,2,2.8
Vivaan,68,Male,No,504,1,Vacation,Single Room,3,2,1,1,5,2.4
Priya,47,Female,Yes,708,4,Vacation,Suite,4,3,3,4,5,3.8
Akhil,20,Male,No,403,1,Business,Single Room,1,3,3,5,1,2.6
Seema,61,Female,Yes,705,2,Business,Double Room,1,3,3,5,1,2.6
Rashmi,21,Female,Yes,406,2,Business,Double Room,5,2,1,5,1,2.8
Leela,19,Female,Yes,407,4,Business,Suite,4,3,4,1,4,3.2
Anjali,29,Female,No,403,1,Travel,Single Room,3,2,4,2,5,3.2
Sanjay,66,Male,No,209,3,Vacation,Suite,1,5,2,5,4,3.4
Sneha,57,Female,No,306,2,Business,Double Room,1,5,5,1,4,3.2
Lakshmi,66,Female,No,107,2,Travel,Double Room,2,1,3,1,4,2.2
Rashmi,19,Female,No,805,3,Business,Suite,4,3,5,4,5,4.2
Rohan,36,Male,Yes,804,3,Vacation,Double Room,5,4,2,4,1,3.2
Aditya,19,Male,No,406,2,Travel,Double Room,3,4,3,2,4,3.2
Sameer,49,Male,No,901,1,Business,Single Room,5,5,2,2,5,3.8
Ritika,29,Female,Yes,1004,2,Travel,Double Room,2,5,3,5,4,3.8
Raghav,46,Male,No,705,2,Business,Double Room,1,5,4,5,2,3.4
Keshav,24,Male,No,608,3,Travel,Suite,4,2,3,4,2,3
Isha,29,Female,No,1003,2,Business,Double Room,5,2,5,3,1,3.2
Vijay,31,Male,No,1007,3,Vacation,Suite,5,3,1,5,4,3.6
Vinod,23,Male,No,906,3,Business,Suite,4,5,2,4,5,4
Akash,38,Male,Yes,702,1,Business,Single Room,4,2,2,5,3,3.2
Sunita,56,Female,No,306,2,Travel,Double Room,2,3,5,3,2,3
Aditya,28,Male,Yes,105,2,Vacation,Single Room,5,5,4,1,4,3.8
Anushka,58,Female,Yes,404,1,Vacation,Single Room,3,5,2,1,5,3.2
Palak,26,Female,Yes,906,3,Education,Suite,1,1,1,1,5,1.8
Naina,40,Female,No,203,1,Business,Single Room,2,5,3,1,3,2.8
Krishna,63,Male,No,902,1,Vacation,Single Room,3,5,1,4,2,3
Pradeep,47,Male,Yes,1010,4,Education,Suite,4,2,2,1,3,2.4
Sneha,34,Female,Yes,101,2,Vacation,Single Room,4,2,1,3,5,3
Bharat,33,Male,No,805,3,Education,Suite,2,5,3,2,2,2.8
Ananya,32,Female,No,408,3,Education,Suite,2,4,4,5,4,3.8
Vivek,42,Male,Yes,804,3,Education,Double Room,5,3,1,4,3,3.2
Aditya,35,Male,No,206,2,Vacation,Double Room,4,1,3,5,4,3.4
Kiran,53,Female,Yes,1005,4,Vacation,Suite,2,4,2,4,5,3.4
Kiran,34,Female,No,110,2,Travel,Double Room,1,5,5,3,1,3
Harish,39,Male,Yes,102,2,Vacation,Single Room,5,2,4,4,1,3.2
Geeta,51,Female,No,1003,2,Travel,Double Room,1,4,5,1,2,2.6
Kiran,41,Female,Yes,402,2,Business,Single Room,1,3,3,1,1,1.8
Tanya,37,Female,No,1003,2,Travel,Double Room,5,1,1,5,1,2.6
Lakshmi,35,Female,Yes,901,2,Education,Single Room,2,1,1,3,5,2.4
Ravi,25,Male,No,504,1,Travel,Single Room,1,5,5,2,3,3.2
Shivani,60,Female,No,1004,2,Business,Double Room,1,4,3,1,4,2.6
Vijay,31,Male,No,604,1,Education,Single Room,2,1,3,5,3,2.8
Shreya,20,Female,Yes,407,4,Business,Suite,5,1,5,1,4,3.2
Kapil,40,Male,Yes,1006,4,Travel,Suite,5,1,5,1,3,3
Aditi,54,Female,No,210,3,Education,Suite,1,3,3,2,3,2.4
Palak,63,Female,No,806,3,Vacation,Suite,3,5,5,3,5,4.2
Ramu,41,Male,No,505,2,Vacation,Double Room,2,3,2,3,2,2.4
Manish,18,Male,Yes,1009,4,Education,Suite,4,5,3,1,4,3.4
Shreya,49,Male,No,806,3,Business,Suite,5,2,1,3,5,3.2
Ramu,67,Male,Yes,505,3,Education,Double Room,5,5,5,2,1,3.6
Shreya,61,Female,No,1002,1,Education,Single Room,5,1,4,1,1,2.4
Tarun,47,Male,No,501,1,Vacation,Single Room,1,5,4,3,4,3.4
Ritika,41,Female,Yes,210,3,Education,Suite,4,3,2,5,1,3
Ananya,49,Female,Yes,601,2,Travel,Single Room,4,2,5,1,2,2.8
Diya,66,Female,No,706,2,Business,Double Room,3,3,1,3,1,2.2
Kiran,22,Female,Yes,705,2,Vacation,Double Room,5,1,1,5,5,3.4
Nisha,70,Female,Yes,208,2,Education,Double Room,2,2,4,4,1,2.6
Pooja,64,Female,Yes,508,3,Business,Suite,3,3,1,3,1,2.2
Pooja,57,Female,No,102,1,Vacation,Single Room,5,3,4,1,2,3
Raghav,47,Male,No,1010,3,Vacation,Suite,5,3,3,1,3,3
Vikas,65,Male,No,706,2,Vacation,Double Room,2,4,1,5,2,2.8
Parvati,70,Female,No,501,1,Travel,Single Room,1,1,3,4,5,2.8
Anil,52,Male,Yes,505,2,Vacation,Double Room,5,2,3,2,5,3.4
Sharad,62,Male,Yes,704,1,Vacation,Single Room,5,1,5,2,1,2.8
Meera,51,Female,No,705,2,Business,Double Room,1,2,3,2,1,1.8
Karthik,26,Male,No,109,2,Education,Double Room,1,3,3,2,2,2.2
Parvati,35,Female,Yes,107,2,Education,Double Room,3,5,5,1,1,3
Diya,43,Female,Yes,801,1,Travel,Single Room,5,2,3,3,5,3.6
Swati,70,Female,Yes,1007,3,Business,Suite,3,4,2,1,3,2.6
Varun,19,Male,Yes,705,3,Vacation,Double Room,2,3,1,1,3,2
Kabir,65,Male,No,110,2,Travel,Double Room,4,4,4,3,5,4
Kabir,54,Male,Yes,204,2,Business,Single Room,4,1,3,5,4,3.4
Harish,65,Male,Yes,904,3,Business,Double Room,5,4,4,1,5,3.8
Seema,36,Female,No,1006,3,Travel,Suite,1,3,1,5,1,2.2
Naveen,65,Male,No,508,3,Education,Suite,4,5,5,5,2,4.2
Shreya,63,Female,Yes,101,2,Travel,Single Room,3,3,4,3,4,3.4
Nikhil,22,Male,Yes,403,2,Business,Single Room,3,5,2,5,2,3.4
Krishna,40,Male,No,501,1,Travel,Single Room,1,3,3,5,5,3.4
Varun,29,Male,Yes,401,2,Travel,Single Room,4,1,4,5,2,3.2
Arnav,45,Male,Yes,204,2,Travel,Single Room,3,3,5,5,1,3.4
Bharat,39,Male,Yes,805,3,Travel,Suite,5,4,3,4,4,4
Kiran,59,Female,Yes,1010,3,Vacation,Suite,4,3,4,4,3,3.6
Arjun,36,Male,No,307,2,Travel,Double Room,4,1,2,3,3,2.6
Arjun,40,Male,Yes,307,3,Business,Double Room,1,3,1,4,2,2.2
Raghav,20,Male,No,1006,3,Business,Suite,1,4,1,5,2,2.6
Sanjay,27,Male,Yes,405,2,Vacation,Double Room,3,1,5,3,2,2.8
Bharat,58,Male,No,108,2,Vacation,Double Room,2,1,1,2,4,2
Riya,58,Female,No,505,2,Travel,Double Room,3,1,3,2,1,2
Sanjay,59,Male,No,603,1,Education,Single Room,3,2,1,1,5,2.4
Gaurav,44,Female,No,107,2,Vacation,Double Room,3,4,1,2,4,2.8
Bhavna,27,Female,No,402,1,Vacation,Single Room,5,3,3,5,4,4
Krishna,50,Male,Yes,407,3,Business,Suite,5,2,2,3,5,3.4
Ramu,54,Male,No,108,2,Vacation,Double Room,1,4,5,5,2,3.4
Naveen,53,Female,Yes,1003,3,Travel,Double Room,1,1,1,3,2,1.6
Shivani,52,Female,No,903,2,Travel,Double Room,3,3,1,3,1,2.2
Aditi,64,Female,Yes,504,2,Vacation,Single Room,1,4,3,3,3,2.8
Aarav,47,Male,Yes,209,4,Travel,Suite,1,4,1,5,1,2.4
Neha,48,Female,Yes,704,2,Education,Single Room,1,5,3,3,1,2.6
Nisha,21,Female,Yes,107,3,Business,Double Room,5,1,1,5,1,2.6
Harshit,63,Male,Yes,307,2,Vacation,Double Room,5,3,2,3,2,3
Lakshmi,43,Female,Yes,207,3,Vacation,Double Room,2,4,3,5,2,3.2
Anil,36,Male,No,905,3,Education,Suite,3,2,1,2,1,1.8
Raj,23,Male,No,602,1,Education,Single Room,1,5,5,1,4,3.2
Aditya,59,Male,No,405,2,Travel,Double Room,3,3,3,3,3,3
Anushka,43,Female,No,901,1,Vacation,Single Room,4,5,2,4,5,4
Bharat,37,Male,No,804,2,Education,Double Room,2,1,2,2,3,2
Seema,49,Female,Yes,608,3,Education,Suite,1,2,5,4,2,2.8
Naveen,27,Female,Yes,606,3,Vacation,Double Room,3,2,1,2,1,1.8
Vivaan,39,Male,No,108,2,Travel,Double Room,2,3,2,4,3,2.8
Naveen,31,Female,No,501,1,Education,Single Room,3,2,2,2,2,2.2
Vivek,18,Male,No,601,1,Business,Single Room,5,2,5,5,2,3.8
Varun,34,Male,No,506,2,Vacation,Double Room,5,2,2,3,3,3
Suman,50,Female,No,309,3,Education,Suite,5,5,4,1,5,4
Ajay,51,Male,Yes,806,4,Vacation,Suite,5,4,2,3,5,3.8
Tanvi,28,Female,No,805,3,Vacation,Suite,5,3,2,2,1,2.6
Priya,67,Female,No,508,3,Business,Suite,2,5,4,2,5,3.6
Naina,45,Female,No,904,2,Business,Double Room,2,1,3,2,3,2.2
Naina,23,Female,Yes,401,1,Travel,Single Room,2,4,4,1,5,3.2
Rana,33,Male,No,305,1,Education,Single Room,1,5,4,3,3,3.2
Ramu,68,Male,Yes,906,4,Travel,Suite,2,1,1,5,2,2.2
Harsha,20,Female,Yes,906,3,Education,Suite,1,3,1,5,3,2.6
Palak,48,Female,No,607,3,Vacation,Suite,1,3,2,3,1,2
Akash,35,Male,Yes,701,1,Vacation,Single Room,4,4,4,3,5,4
Rana,63,Male,No,1008,3,Vacation,Suite,4,5,1,2,3,3
